#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
44096  37.023  -75.810 2014 08 23 04 47  MM    MM    MM  0.8   7  3.8  71     MM    MM    MM  25.3    MM   MM     MM
44097  40.969  -71.127 2014 08 23 04 38  MM    MM    MM  1.2   7  4.7 118     MM    MM    MM  19.8    MM   MM     MM
44098  42.798  -70.169 2014 08 23 04 51  MM    MM    MM  0.9   8  4.7 128     MM    MM    MM  18.9    MM   MM     MM
44099  36.915  -75.720 2014 08 23 04 58  MM    MM    MM  0.8   7  4.1  59     MM    MM    MM  25.3    MM   MM     MM
44137  42.260  -62.000 2014 08 23 04 00  50   7.0   8.0  1.0   8   MM  MM 1015.2  -1.2  20.6  23.6    MM   MM     MM
44139  44.240  -57.100 2014 08 23 04 00  40   8.0  10.0  1.1   5   MM  MM 1016.2  -0.5  16.9  19.4    MM   MM     MM
44141  42.990  -57.960 2014 08 23 04 00  50   6.0   7.0  1.1   5   MM  MM 1015.0  -1.1  20.1  22.1    MM   MM     MM
44150  42.500  -64.020 2014 08 23 04 00  30   8.0   9.0  1.2   8   MM  MM 1016.3  -1.1  18.6  19.6    MM   MM     MM
44175  46.880  -62.000 2014 08 23 04 00  40   8.0   9.0  1.4  MM   MM  MM 1019.8    MM  17.0  17.6    MM   MM     MM
44176  47.540  -64.530 2014 08 23 04 00  MM    MM    MM  0.6   6   MM  MM 1021.1  -0.8  25.0    MM    MM   MM     MM
44251  46.440  -53.390 2014 08 23 04 00 350   7.0   8.0  0.8   9   MM  MM 1015.2  -0.7  14.1  19.0    MM   MM     MM
44258  44.500  -63.400 2014 08 23 04 00   0   7.0   8.0  0.7   9   MM  MM 1018.2  -0.5  17.0    MM    MM   MM     MM
45001  48.061  -87.793 2014 08 23 04 50 310   2.0   3.0  0.0  MM  2.7  MM 1018.7  +0.8  11.7  11.5    MM   MM     MM
45002  45.344  -86.411 2014 08 23 04 50 110   4.0   5.0  0.1  MM  2.4  MM 1015.9  +0.0  19.8  18.8    MM   MM     MM
45003  45.351  -82.840 2014 08 23 04 50  MM   0.0   0.0  0.1  MM  3.4  MM 1018.3  +0.0  16.5  17.1    MM   MM     MM
45005  41.677  -82.398 2014 08 23 04 50  20   3.0   4.0  0.1  MM  2.5  MM 1016.1  +0.7  23.1  23.3    MM   MM     MM
45006  47.335  -89.793 2014 08 23 04 50  40   6.0   7.0  0.5   4  3.3  MM 1017.5  +0.7  14.8  14.7    MM   MM     MM
45007  42.674  -87.026 2014 08 23 04 50  50   4.0   5.0  0.1  MM  3.1  MM 1015.6  +0.7  20.9  20.8  20.9   MM     MM
45008  44.283  -82.416 2014 08 23 04 50  50   3.0   4.0  0.1  MM  2.6  MM 1016.8  +0.0  17.5  17.9    MM   MM     MM
45012  43.619  -77.405 2014 08 23 04 50 110   5.0   5.0  0.3   3  2.6  MM 1016.4  +0.0  19.0  18.9    MM   MM     MM
45013  43.100  -87.850 2014 08 23 04 30  40   1.0   1.0   MM  MM   MM  MM 1017.1    MM  20.3    MM    MM   MM     MM
45014  44.800  -87.760 2014 08 23 05 00  MM   1.0    MM   MM  MM   MM  MM 1017.3  +0.4  20.8    MM    MM   MM     MM
45015  41.714  -87.527 2014 08 23 03 00  MM    MM    MM  0.1  MM   MM  MM     MM    MM    MM  23.2    MM   MM     MM
45018  41.968  -87.637 2014 08 23 03 00  MM    MM    MM  0.1  MM   MM  MM     MM    MM    MM  23.4    MM   MM     MM
45022  45.403  -85.088 2014 08 23 04 40  80   4.0   5.0  0.2  MM   MM  MM     MM    MM  19.7  18.6  19.7   MM     MM
45023  47.270  -88.607 2014 08 23 05 00  40   4.0   5.0  0.3   3   MM  MM     MM    MM  12.2  11.3  11.7   MM     MM
45024  43.977  -86.559 2014 08 23 05 00 110   3.0   4.0  0.1  MM   MM  MM 1016.6  +0.3  20.3  19.2    MM   MM     MM
45025  46.969  -88.398 2014 08 23 05 00  30   5.0   7.0  0.6   3   MM  MM 1017.0  +1.0  16.4    MM  15.7   MM     MM
45026  41.983  -86.617 2014 08 23 05 00  50   2.0   2.0  0.1  MM   MM  MM     MM    MM  23.8  22.9  22.6   MM     MM
45027  46.860  -91.930 2014 08 23 04 40  50   1.0   2.0   MM  MM   MM  MM     MM    MM  17.1  16.8  16.3   MM     MM
45028  46.810  -91.840 2014 08 23 04 40  60   2.0   2.0  0.4  MM   MM  MM     MM    MM  15.9  15.4    MM   MM     MM
45029  42.900  -86.272 2014 08 23 05 00  70   4.0   5.0  0.1  MM   MM  MM     MM    MM  22.5  21.5  21.2   MM     MM
45132  42.460  -81.220 2014 08 23 04 00  10   1.0   1.0  0.1   2   MM  MM 1016.1  +1.0  22.0  22.4    MM   MM     MM
45135  43.780  -76.870 2014 08 23 04 00 110   7.0   8.0  0.6   4   MM  MM 1016.8  +0.5  19.4  19.6    MM   MM     MM
45136  48.530  -86.950 2014 08 23 04 00  20   2.0   2.0  0.0   3   MM  MM 1018.5  +0.5  14.6  12.8    MM   MM     MM
45137  45.540  -81.010 2014 08 23 04 00  60   4.0   4.0  0.1   2   MM  MM 1018.2  +0.6  18.9  17.5    MM   MM     MM
45138  49.540  -65.710 2014 08 23 04 00 220   1.0   1.0  0.2   4   MM  MM 1021.0  -0.7  17.5  17.9    MM   MM     MM
45139  43.250  -79.530 2014 08 23 04 00  20   4.0   5.0  0.2   3   MM  MM 1016.2  +0.1  19.8  21.0    MM   MM     MM
45140  50.790  -96.730 2014 08 23 04 00   0   9.0  11.0  0.8   4   MM  MM 1020.4  +1.0  15.6  21.6    MM   MM     MM
45141  61.180 -115.310 2014 08 23 04 00 160   5.0   6.0  0.4  15   MM  MM 1026.0  -0.4  15.2  14.3    MM   MM     MM
45142  42.740  -79.290 2014 08 23 04 00  40   5.0   6.0  0.2   3   MM  MM 1015.6  +0.3  21.0  22.0    MM   MM     MM
